X,Y,Z
1.35406,-3.64512,1.42204
1.32651,-3.63921,1.41665
1.01402,-2.83611,1.10836
1.1108,-3.29683,1.27548
0.943518,-2.85835,1.10769
0.932626,-2.88469,1.11544
0.909224,-2.8724,1.1087
0.901338,-2.90941,1.12049
0.856148,-2.82478,1.0868
0.690237,-2.32899,0.899799
0.695594,-2.40101,0.925069
0.747303,-2.63986,1.01233
0.677624,-2.45111,0.940568
0.825057,-3.05696,1.16362
0.736244,-2.79611,1.06523
0.57687,-2.24704,0.860715
0.5633,-2.25145,0.861052
0.701107,-2.95533,1.11746
0.686137,-2.97333,1.12251
0.603343,-2.68994,1.01705
0.706554,-3.24279,1.2182
0.569813,-2.77899,1.04569
0.547766,-2.84864,1.0686
0.492729,-2.65016,0.995151
0.475293,-2.64665,0.992792
0.457758,-2.64209,0.990097
0.435951,-2.61142,0.977967
0.424852,-2.64472,0.989086
0.434494,-2.81477,1.04973
0.476852,-3.21972,1.19529
0.47826,-3.37174,1.2492
0.327534,-2.41644,0.903169
0.319712,-2.47256,0.922711
0.297856,-2.42028,0.903169
0.263833,-2.52649,0.939557
0.179948,-2.25908,0.84151
0.161519,-2.19817,0.819273
0.194689,-2.89051,1.06725
0.140179,-2.29209,0.852292
0.0907551,-2.98042,1.09758
0.07357,-3.0261,1.11375
0.0362578,-3.01265,1.1087
0.0175732,-2.97987,1.0969
-0.000712774,-2.99404,1.10196
-0.0190192,-2.98362,1.09825
-0.0546028,-2.92763,1.07837
-0.0892789,-2.88627,1.06388
-6.81977,-3.22417,2.73001
-6.84625,-3.18545,2.7327
-7.0491,-2.96931,2.76774
-6.82107,-2.29866,2.60635
-6.85414,-2.17015,2.60332
-6.7702,-2.09795,2.56693
-6.78295,-2.05637,2.56693
-6.98815,-1.9789,2.6296
-7.06368,-1.95355,2.65319
-7.08644,-1.91312,2.65723
4.27733,-1.99436,1.66038
4.25339,-2.04711,1.6607
4.18573,-2.2408,1.67017
4.19681,-2.27998,1.67996
3.60012,-2.13089,1.47531
3.62992,-2.17873,1.49261
3.61083,-2.19752,1.49032
3.56833,-2.20176,1.47857
3.55475,-2.22361,1.47857
3.58095,-2.2707,1.49489
4.15605,-2.67151,1.73675
4.41161,-2.913,1.85621
4.41171,-2.95211,1.86372
3.61051,-2.44794,1.537
3.59153,-2.46737,1.53537
3.56857,-2.48395,1.5321
3.53781,-2.4949,1.52558
4.39213,-3.13827,1.89473
3.98517,-2.92189,1.73708
2.98918,-2.21961,1.31636
2.95587,-2.22313,1.30787
2.93992,-2.23951,1.30689
2.94707,-2.27368,1.31603
2.97774,-2.32665,1.33561
3.03159,-2.39886,1.36564
3.37448,-2.70419,1.52394
3.33434,-2.70578,1.5135
3.78496,-3.11039,1.72239
3.65176,-3.0386,1.67115
3.16039,-2.66252,1.45769
3.23889,-2.76287,1.50077
3.30505,-2.89016,1.54679
3.29645,-2.91854,1.55103
